Pedido;Item;Tax_Antes;Tax_Novo;Tax_Depois;Material_Antes;Material_Novo;Material_Depois;CC_Antes;CC_Novo;CC_Depois;Status;Mensagens
4500033251;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033251 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033212;10;P4;;P4;60000506;;60000506;;20151CD008;;OK;S - 06 023: Standard PO 4500033212 changed | I - KI 339: Profit center was set to L2015001 | W - ME 083: Enter Requester, customer
4500033187;10;P4;;P4;60000684;;60000684;;20022PD002;;OK;S - 06 023: Standard PO 4500033187 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033184;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033184 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033180;10;F4;;F4;1000784;;1000784;;20022PD006;;OK;S - 06 023: Standard PO 4500033180 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033174;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033174 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033171;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033171 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033171;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 022: No data changed
4500033168;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033168 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033164;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033164 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
4500033161;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033161 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
4500033158;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033158 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033155;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033155 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033152;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033152 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033149;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033149 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
4500033145;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033145 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033142;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033142 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033139;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033139 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033133;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033133 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033129;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033129 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
